Membership No  Date Joined  Active  
    51732      2020-1-17    yes   
    47012      2016-9-17    yes   
    74797      2020-5-4     yes   
    26561      2015-6-8     no    
    20280      2019-2-11    no    
    61042      2019-8-1     yes   
    90519      2016-2-9     yes   
    83567      2016-9-23    no    
    84708      2019-1-22    no    
    60920      2020-2-25    no    
    15909      2019-5-10    no    
    86456      2017-4-25    yes   
    91149      2017-1-23    yes   
    43467      2016-10-6    yes   
    62962      2015-2-1     yes   
    81192      2016-8-8     yes   
    90603      2020-9-17    no    
    77238      2015-11-16   yes   
    33490      2018-5-12    no    
    48344      2019-10-20   no    
